Name,Model,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2,Bleu
Achim Ebert,curie,Text2,0.157894737,0.435897436,0.194805195,0.269230769,964,0.92439693,0.0355
Achim Ebert,curie,Text3,0.195402299,0.508474576,0.205714286,0.361581921,408,0.96751165,0.149
Achim Ebert,davinci,Text1,0.269005848,0.571428571,0.289017341,0.422857143,602,0.9588890671730042,0.1934
Achim Ebert,davinci,Text2,0.245901639,0.507936508,0.258064516,0.285714286,546,0.8985170722007751,0.0428
Achim Ebert,davinci,Text3,0.261363636,0.61452514,0.282485876,0.357541899,252,0.9631806015968324,0.2005
Achim Ebert,turbo,Text1,0.239700375,0.534296029,0.269090909,0.368231047,602,0.98013383,0.1136
Achim Ebert,turbo,Text2,0.294117647,0.578034682,0.315789474,0.358381503,1189,0.97313863,0.2034
Achim Ebert,turbo,Text3,0.258823529,0.586206897,0.290697674,0.32183908,544,0.94722027,0.1444
Mary C. Whitton,ada,Text1,0.069444444,0.362416107,0.12244898,0.214765101,642,0.94646275,0.0109
Mary C. Whitton,ada,Text2,0.143712575,0.413793103,0.162790698,0.264367816,286,0.9474954,0.0959
Mary C. Whitton,ada,Text3,0.144927536,0.388888889,0.183098592,0.236111111,419,0.96637267,0.0418
Mary C. Whitton,curie,Text1,0.158590308,0.497854077,0.173160173,0.309012876,642,0.97625834,0.1131
Mary C. Whitton,curie,Text2,0.134831461,0.469945355,0.165745856,0.262295082,802,0.9424324,0.0843
Mary C. Whitton,curie,Text3,0.107843137,0.431924883,0.123222749,0.234741784,521,0.9568134,0.0485
Mary C. Whitton,davinci,Text1,0.323699422,0.621468927,0.331428571,0.406779661,642,0.9727612137794496,0.1509
Mary C. Whitton,davinci,Text2,0.309677419,0.625766871,0.322981366,0.45398773,504,0.934320032596588,0.1738
Mary C. Whitton,davinci,Text3,0.288770053,0.5625,0.294736842,0.354166667,425,0.9543798565864564,0.1671
Mary C. Whitton,turbo,Text1,0.311688312,0.638655462,0.347457627,0.470588235,642,0.9848365,0.1816
Mary C. Whitton,turbo,Text2,0.239130435,0.624338624,0.267379679,0.380952381,871,0.965407,0.1415
Mary C. Whitton,turbo,Text3,0.342245989,0.67357513,0.366492147,0.455958549,557,0.97096384,0.2274
Henry Fuchs,ada,Text1,0.016528926,0.113821138,0.016528926,0.081300813,614,0.8408944,0.0018
Henry Fuchs,ada,Text2,0.125,0.318681319,0.144444444,0.252747253,176,0.9070526,0.1041
Henry Fuchs,ada,Text3,0.084210526,0.405940594,0.11,0.198019802,472,0.9198406,0.0232
Henry Fuchs,curie,Text1,0.194285714,0.511111111,0.224719101,0.366666667,614,0.9582943,0.1587
Henry Fuchs,curie,Text2,0.104712042,0.420512821,0.113989637,0.246153846,457,0.95230293,0.0753
Henry Fuchs,curie,Text3,0.179775281,0.513661202,0.209944751,0.306010929,614,0.9521404,0.1373
Henry Fuchs,davinci,Text1,0.245810056,0.585635359,0.245810056,0.386740331,614,0.9508075714111328,0.1738
Henry Fuchs,davinci,Text2,0.308823529,0.54676259,0.321167883,0.402877698,510,0.9280883073806764,0.0954
Henry Fuchs,davinci,Text3,0.256097561,0.542168675,0.256097561,0.397590361,279,0.9529985785484314,0.1369
Henry Fuchs,turbo,Text1,0.221153846,0.588785047,0.245283019,0.38317757,614,0.9735593,0.113
Henry Fuchs,turbo,Text2,0.251162791,0.552036199,0.273972603,0.398190045,738,0.9589893,0.15
Henry Fuchs,turbo,Text3,0.311827957,0.680628272,0.338624339,0.408376963,756,0.9720052,0.1734
Dieter Schmalstieg,ada,Text1,0.097087379,0.438095238,0.125,0.228571429,834,0.95633376,0.045
Dieter Schmalstieg,ada,Text2,0.079470199,0.274509804,0.105960265,0.117647059,564,0.9268948,0.0095
Dieter Schmalstieg,ada,Text3,0.031007752,0.183206107,0.046511628,0.122137405,233,0.86932546,0.0
Dieter Schmalstieg,curie,Text1,0.069364162,0.429378531,0.091428571,0.237288136,834,0.9507059,0.0068
Dieter Schmalstieg,curie,Text2,0.104575163,0.368253968,0.115015974,0.215873016,353,0.950025,0.0173
Dieter Schmalstieg,curie,Text3,0.126213592,0.384615385,0.155339806,0.269230769,1270,0.9325188,0.0473
Dieter Schmalstieg,davinci,Text1,0.245098039,0.601941748,0.245098039,0.388349515,834,0.0,0.1328
Dieter Schmalstieg,davinci,Text2,0.0,0.016806723,0.0,0.016806723,622,0.0,0.0
Dieter Schmalstieg,davinci,Text3,0.215686275,0.495145631,0.245098039,0.194174757,46,0.0,0.1206
Dieter Schmalstieg,turbo,Text1,0.173134328,0.452941176,0.189349112,0.294117647,834,0.9836369,0.1025
Dieter Schmalstieg,turbo,Text2,0.214285714,0.535353535,0.224489796,0.373737374,1493,0.9677646,0.1059
Dieter Schmalstieg,turbo,Text3,0.26,0.613861386,0.28,0.405940594,539,0.9733947,0.1177
Anna Celler,ada,Text1,0.131147541,0.368,0.146341463,0.272,483,0.932701,0.0755
Anna Celler,ada,Text2,0.126984127,0.326530612,0.134020619,0.214285714,311,0.93324316,0.082
Anna Celler,ada,Text3,0.033613445,0.209677419,0.049180328,0.14516129,695,0.90898323,0.0156
Anna Celler,curie,Text1,0.184782609,0.444444444,0.22459893,0.253968254,483,0.93991053,0.0818
Anna Celler,curie,Text2,0.260869565,0.517482517,0.269503546,0.405594406,770,0.9612581,0.1917
Anna Celler,curie,Text3,0.242038217,0.49689441,0.264150943,0.335403727,431,0.9649404,0.1068
Anna Celler,davinci,Text1,0.220779221,0.564102564,0.207792208,0.320512821,483,0.0,0.1288
Anna Celler,davinci,Text2,0.0,0.153846154,0.0,0.102564103,530,0.0,0.0
Anna Celler,davinci,Text3,0.245901639,0.504065041,0.26446281,0.37398374,58,0.0,0.1274
Anna Celler,turbo,Text1,0.16,0.490196078,0.178217822,0.303921569,483,0.9731606,0.0882
Anna Celler,turbo,Text2,0.25,0.517985612,0.277372263,0.330935252,837,0.93729055,0.0927
Anna Celler,turbo,Text3,0.189781022,0.528571429,0.202898551,0.242857143,458,0.9496108,0.0412
Ghassan Hamarneh,ada,Text1,0.0,0.149659864,0.0,0.108843537,630,0.9155387,0.0028
Ghassan Hamarneh,ada,Text2,0.094339623,0.25,0.181818182,0.25,317,0.8375161,0.0005
Ghassan Hamarneh,ada,Text3,0.082758621,0.293333333,0.081081081,0.186666667,133,0.94504344,0.0463
Ghassan Hamarneh,curie,Text1,0.205882353,0.521327014,0.229665072,0.388625592,630,0.9772244,0.1279
Ghassan Hamarneh,curie,Text2,0.168539326,0.556149733,0.194594595,0.310160428,699,0.95236284,0.1001
Ghassan Hamarneh,curie,Text3,0.128787879,0.414545455,0.153846154,0.232727273,577,0.95543075,0.0639
Ghassan Hamarneh,davinci,Text1,0.275132275,0.632124352,0.293193717,0.476683938,630,0.9683781862258912,0.2408
