Name,Model,publications,F1 Score,RougeL,Length,Vec2,Bleu,paragraph
Ben Shneiderman,curie,400,0.3487396996666667,0.4946370925752368,295.3333333333333,0.7692544062932333,0.1962,Paragraph 2
Ben Shneiderman,turbo,400,0.3867763833333333,0.5004238033333334,344.3333333333333,0.8529406866666666,0.2265,Paragraph 2
Ben Shneiderman,davinci,400,0.2150291556666666,0.2091880341880342,204.3333333333333,0.6790586666666667,0.0825,Paragraph 2
Anna Celler,turbo,14,0.2296430293333333,0.3272124329999999,286.0,0.9162829333333334,0.1434,Paragraph 2
Anna Celler,davinci,14,0.2351778653333333,0.2888888888888889,146.66666666666666,0.6546418333333334,0.0703333333333333,Paragraph 2
Anna Celler,curie,14,0.1221835073333333,0.266488413547237,241.0,0.0,0.0622,Paragraph 2
Anna Celler,ada,14,0.0357142856666666,0.074074074,50.0,0.0,0.0268666666666666,Paragraph 2
Achim Ebert,turbo,100,0.4160043126666666,0.5579192553333333,337.0,0.9115609333333332,0.3262333333333333,Paragraph 2
Achim Ebert,davinci,100,0.1460090986666666,0.1375661375661375,173.66666666666666,0.6558577366666666,0.0925,Paragraph 2
Achim Ebert,curie,100,0.227460883,0.43578231292517,271.3333333333333,0.744400163491567,0.1226999999999999,Paragraph 2
Achim Ebert,ada,100,0.1886546183333333,0.2677836566666666,144.66666666666666,0.0,0.0947,Paragraph 2
Xenophon Papademetris,turbo,97,0.3069580833333333,0.426307851,690.3333333333334,0.9758585333333332,0.1863666666666666,Paragraph 3
Xenophon Papademetris,davinci,97,0.216233986,0.324361603,446.3333333333333,0.0,0.1384999999999999,Paragraph 3
Xenophon Papademetris,curie,97,0.1430780276666666,0.2967313866666667,780.3333333333334,0.9571287,0.0538666666666666,Paragraph 3
Xenophon Papademetris,ada,97,0.07154369,0.2007752456666666,387.3333333333333,0.9194180866666668,0.0242666666666666,Paragraph 3
Stuart K. Card,turbo,83,0.311279587,0.3914898596666666,736.0,0.97236981,0.1793666666666666,Paragraph 3
Stuart K. Card,davinci,83,0.1909994293333333,0.313952365,478.3333333333333,0.9052913188934326,0.1213666666666666,Paragraph 3
Stuart K. Card,curie,83,0.1699956963333333,0.259696688,692.0,0.8963056566666667,0.1197666666666666,Paragraph 3
Stuart K. Card,ada,83,0.149783893,0.2611483723333333,477.6666666666667,0.95536792,0.0502333333333333,Paragraph 3
Stephan Diehl,turbo,100,0.2557644433333333,0.4233197099999999,724.0,0.9692286866666668,0.1598666666666666,Paragraph 3
Stephan Diehl,ada,100,0.0897901663333333,0.198956739,736.6666666666666,0.9432170566666668,0.0344666666666666,Paragraph 3
Stephan Diehl,curie,100,0.181509063,0.3230069996666667,704.6666666666666,0.97669735,0.1228,Paragraph 3
Stephan Diehl,davinci,100,0.2328708326666666,0.4159109993333333,515.3333333333334,0.9268188079198202,0.1109,Paragraph 3
Penny Rheingans,davinci,62,0.176994616,0.300334169,508.3333333333333,0.8415626883506775,0.1221666666666666,Paragraph 3
Penny Rheingans,turbo,62,0.2436651153333333,0.3780850513333333,925.3333333333334,0.96070675,0.1502666666666666,Paragraph 3
Penny Rheingans,ada,62,0.0684575626666666,0.1512588473333333,445.0,0.9129857833333334,0.0150666666666666,Paragraph 3
Penny Rheingans,curie,62,0.1114211806666666,0.2477894933333333,849.3333333333334,0.9553271,0.0859333333333333,Paragraph 3
Michael Burch,ada,100,0.030400046,0.1640605986666666,298.6666666666667,0.7208337699999999,0.0039,Paragraph 3
Michael Burch,curie,100,0.196747568,0.3241261363333333,727.0,0.97193765,0.1225666666666666,Paragraph 3
Michael Burch,davinci,100,0.2471491923333333,0.41034507,490.6666666666667,0.9611712694168092,0.136,Paragraph 3
Michael Burch,turbo,100,0.2619939526666666,0.4229609743333333,764.3333333333334,0.9704304666666668,0.1453666666666666,Paragraph 3
Mary Jean Harrold,davinci,100,0.1572773743333333,0.3321123436666667,458.6666666666667,0.8421880404154459,0.1000666666666666,Paragraph 3
